Modelo;Nombre Tipo de producto;Categoria Tipo de producto;Marca;Unidades;Precio;Garantia
Aerified;Plastic;Accesorio;Buick;92;1961731;si
A21;Wood;Accesorio;Land Rover;72;2485913;no
A20;Plastic;Equipo electronico;Honda;76;972578;no
XS;Wood;Equipo electronico;BMW;51;746349;no
Go pro;Steel;Accesorio;Mitsubishi;135;1549817;no
Power;Wood;Equipo electronico;Mercedes-Benz;62;1764266;si
Fire;Plexiglass;Accesorio;Chevrolet;116;544841;no
Alpha;Rubber;Accesorio;GMC;80;2751178;no
Brownie;Aluminum;Equipo electronico;Chrysler;95;263824;no
Light;Wood;Accesorio;Hyundai;123;1971909;no
J5;Brass;Accesorio;Kia;63;504691;si
Alpha4444;Granite;Equipo electronico;Saab;78;1857093;si
J7;Plexiglass;Equipo electronico;Jaguar;134;2719286;no
7;Wood;Equipo electronico;Ford;61;524040;no
Dragon;Glass;Accesorio;Mercedes-Benz;72;1814339;si
G20;Glass;Equipo electronico;Lotus;31;921865;no
Future;Rubber;Equipo electronico;GMC;115;1519243;si
Darkness;Plastic;Accesorio;Mercedes-Benz;64;1559461;no
Life;Plastic;Accesorio;Saab;142;158726;si
Free;Steel;Equipo electronico;Acura;91;1482359;si
Strong;Stone;Accesorio;Chevrolet;31;2882428;no
Fierce;Vinyl;Accesorio;Chevrolet;68;13512;si
Alphazap;Plexiglass;Accesorio;Buick;14;2284478;no
Andalax;Vinyl;Equipo electronico;Ford;42;481353;si
Asoka;Wood;Accesorio;Dodge;77;1756952;no
Bamity;Granite;Accesorio;Geo;19;587013;si
Bigtax;Plastic;Accesorio;Chrysler;20;2271115;si
Biodex;Granite;Equipo electronico;Lotus;139;827965;no
Bitchip;Plastic;Accesorio;Chevrolet;116;2220253;si
Bitwolf;Stone;Accesorio;Land Rover;21;766574;no
Bytecard;Aluminum;Accesorio;Jaguar;18;979932;no
Cardguard;Granite;Accesorio;Chevrolet;13;2585408;si
Cardify;Steel;Equipo electronico;Honda;73;866784;si
Cookley;Vinyl;Accesorio;Saturn;25;2812029;si
Daltfresh;Brass;Accesorio;Chrysler;100;2373121;no
Domainer;Wood;Accesorio;Volkswagen;99;2033282;no
Duobam;Plastic;Equipo electronico;Honda;41;1564323;no
Fintone;Brass;Accesorio;Nissan;92;219418;no
Fix San;Plastic;Accesorio;Chevrolet;21;2251581;si
Fixflex;Aluminum;Equipo electronico;Dodge;126;1160510;si
Flexidy;Granite;Equipo electronico;Ford;58;1387630;si
Flowdesk;Vinyl;Accesorio;Chevrolet;135;1163449;si
Gembucket;Wood;Accesorio;Honda;112;587130;no
Greenlam;Vinyl;Accesorio;Pontiac;99;1765854;no
Hatity;Aluminum;Equipo electronico;Volvo;41;1838885;no
Holdlamis;Stone;Accesorio;GMC;35;50530;no
Home Ing;Brass;Accesorio;Mazda;41;311651;si
It;Rubber;Accesorio;BMW;84;140040;si
Job;Granite;Equipo electronico;Isuzu;150;1443478;si
Kanlam;Wood;Accesorio;GMC;144;1711137;no
Keylex;Plexiglass;Accesorio;Mercedes-Benz;147;790348;si
Konklab;Aluminum;Accesorio;Land Rover;15;2473616;si
Konklux;Granite;Equipo electronico;Chevrolet;90;2419957;no
Latlux;Steel;Accesorio;Nissan;11;627921;no
Lotlux;Vinyl;Equipo electronico;Volkswagen;129;2470775;no
Lotstring;Plexiglass;Accesorio;Buick;15;2703975;si
Mat Lam Tam;Granite;Accesorio;Suzuki;110;2934933;si
Matsoft;Glass;Equipo electronico;Subaru;53;327556;no
Namfix;Vinyl;Accesorio;Pontiac;117;2891929;no
Opela;Vinyl;Accesorio;Mazda;79;168235;si
Otcom;Plexiglass;Accesorio;Saab;108;867785;no
Overhold;Plexiglass;Equipo electronico;Audi;117;1703733;si
Pannier;Brass;Equipo electronico;Chevrolet;126;1931948;no
Prodder;Glass;Equipo electronico;Ford;123;177841;no
Quo Lux;Plexiglass;Accesorio;Chrysler;97;2840065;si
Rank;Plastic;Accesorio;Chrysler;31;833976;no
Redhold;Plexiglass;Accesorio;Isuzu;58;1143767;si
Regrant;Wood;Accesorio;Dodge;27;2686193;si
Ronstring;Granite;Equipo electronico;Mitsubishi;72;689063;no
Solarbreeze;Aluminum;Accesorio;Ford;86;151575;no
Sonair;Stone;Accesorio;Saturn;148;219491;si
Sonsing;Plexiglass;Accesorio;Lincoln;90;2159830;no
Span;Plastic;Accesorio;Nissan;20;245003;si
Stim;Wood;Accesorio;Audi;43;108699;no
Stringtough;Rubber;Accesorio;Lincoln;134;1008070;si
